SubID,BlockType,TrialType,Slope,Intercept,IPs,r_value,p_value
6.0,Negative,High,-0.5109405581707622,-0.010877398911391029,1.178711028636416,-0.5698372414452092,8.253644335868918e-15
6.0,Negative,Low,-0.5180868810606319,-0.02558873562420798,1.1506091805069016,-0.5636807632838772,1.2480257047442176e-14
6.0,Positive,High,-0.4650166318878054,-0.000436419266630297,1.1990614975106189,-0.495584490776699,4.779014388337407e-11
6.0,Positive,Low,-0.40132395135178117,-0.04460546269591103,1.0888542222669086,-0.4409868435224436,8.327353959765695e-09
7.0,Negative,High,-0.45556987697893503,-0.093142320545736,0.995547675005644,-0.49701814250294035,7.360992675200843e-11
7.0,Negative,Low,-0.4833778365374694,-0.10478219809014329,0.9832292046306491,-0.5536185242039701,5.4730584019693754e-14
7.0,Positive,High,-0.48367926596939026,-0.08848424328860241,1.0170600860649623,-0.5687627390701226,9.505288401582075e-15
7.0,Positive,Low,-0.4836522678764783,-0.09792911756089043,0.9975216409283933,-0.5925047824397853,3.710479726007454e-16
8.0,Negative,High,-0.4348490887085314,0.052085703453994554,1.3197788032825022,-0.526746725830142,1.9191289369203624e-12
8.0,Negative,Low,-0.5014673593746015,0.057764481873709896,1.3151909108216935,-0.6308456927099265,3.8728496080738525e-19
8.0,Positive,High,-0.4986567185573362,0.1312416626577033,1.4631904028835678,-0.5779696077686356,1.8448540878457097e-15
8.0,Positive,Low,-0.41979010668889993,0.13304733580437728,1.516937759333563,-0.5588626481602899,2.818096824358084e-14
9.0,Negative,High,-0.2832648317414632,0.018639906246550805,1.2658038138089924,-0.3739242212388488,1.645900741042585e-06
9.0,Negative,Low,-0.3586094031297764,-0.051929573751658596,1.055191823475789,-0.504865130547435,9.922236366946113e-12
9.0,Positive,High,-0.35964630699890493,-0.008318819719844925,1.17686944212145,-0.4778551339683245,2.1653416005399256e-10
9.0,Positive,Low,-0.31038434389410313,-0.05726236690246715,1.0155114198607778,-0.46922566366271534,4.411639134685675e-10
10.0,Negative,High,-0.4848880461886575,-0.04856636351500017,1.0998400478280623,-0.6724461394851828,5.239963953472509e-22
10.0,Negative,Low,-0.44530478276571145,-0.023409208146161965,1.1474310426203567,-0.6083316836260432,2.295710929741687e-17
10.0,Positive,High,-0.42157358698940944,-0.02966460104024145,1.1296336346589315,-0.6175709394260687,4.308283450891759e-18
10.0,Positive,Low,-0.5622076104444751,-0.050537060098966316,1.1101096122498015,-0.7055052968845054,2.9862968728522546e-25
11.0,Negative,High,-0.6825642529220083,0.050380766134949746,1.2738110235326174,-0.7285624784856404,2.0207147264620366e-27
11.0,Negative,Low,-0.6049078531470955,0.020027966055477905,1.2331091189365129,-0.682571032586364,7.233643893926406e-23
11.0,Positive,High,-0.6879327824547112,0.010164120744548812,1.214774874818846,-0.7754678852007316,9.13102753797251e-33
11.0,Positive,Low,-0.5949291528161396,-0.008041249561579554,1.1864836854547878,-0.7225925672400005,8.487099024490158e-27
12.0,Negative,High,-0.6636756928723995,-0.004704749121546639,1.1929110721214085,-0.6347776518230805,3.367659792681937e-19
12.0,Negative,Low,-0.6905677166696317,-0.08551672369167129,1.0761646082963612,-0.7071048543397453,2.96712458247978e-25
12.0,Positive,High,-0.6470528671875404,0.005769719374256997,1.2089169211154809,-0.651362806522013,1.1004571213857084e-20
12.0,Positive,Low,-0.6941633250061251,-0.02223914656071714,1.1679626598531103,-0.6565749927781065,1.002409904432242e-20
13.0,Negative,High,-0.37483506226028585,-0.013406927593559893,1.164232461305207,-0.5237898086825965,1.393177334156818e-12
13.0,Negative,Low,-0.3680661516430597,-0.049529648791011426,1.065432752862741,-0.5744882660647581,2.964578530012363e-15
13.0,Positive,High,-0.3773995913463113,-0.0167489570513657,1.1556200975427224,-0.5149327791966444,6.100394374829205e-12
13.0,Positive,Low,-0.3827327088387771,-0.04002158560235043,1.0954320216744025,-0.5426854971627104,1.762721108481101e-13
14.0,Negative,High,-0.42423227740590325,-0.06133107713074149,1.0554304318714998,-0.5365516300201884,6.202367061753987e-13
